Category,Indicator,Variable,Units,Statistic,Scale
Study region information,Continent,Continent,,category,city
Study region information,Country,Country,,category,city
Study region information,2-letter country code,ISO 3166-1 alpha-2,,category,city
Study region information,Study region,study_region,,category,"city, grid"
Derived study region statistics,"Area (km²; accounting for urban restrictions, if applied)",Area (sqkm),km²,sum,city
Derived study region statistics,"Population estimate, as per configured population data source",Population estimate,persons,sum,city
Derived study region statistics,Population per km²,Population per sqkm,persons per km²,rate,city
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),Intersections,count,count,city
Derived study region statistics,Intersections per km²,Intersections per sqkm,count per km²,rate,city
Derived study region statistics,Area (km²),area_sqkm,km²,sum,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,"Population estimate, as per configured population data source",pop_est,persons,sum,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Population per km²,pop_per_sqkm,persons per km²,rate,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),intersection_count,count,count,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Intersections per km²,intersections_per_sqkm,count per km²,rate,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Analytical statistics,Sample points used in this analysis (generated along pedestrian network for populated grid areas),urban_sample_point_count,count,count,"city, grid, custom: manzanas, custom: condesa_lotes"
Analytical statistics,Population grid cell identifier,grid_id,,category,"grid, sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Sample point identifier,point_id,,category,"sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Identifier of the network edge the sample point was generated along,edge_ogc_fid,,category,"sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Count of population grid cells associated with this area,grid_count,count,count,"custom: agebs, custom: region_mexicali"
Analytical statistics,Feature identifier,ogc_fid,,category,"custom: condesa_lotes, custom: condesa_fraccionamientos"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_fresh_food_market_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a convenience store (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_convenience_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_pt_osm_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public open space (source: OpenStreetMap) (population weighted),pop_pct_access_500m_public_open_space_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public open space larger than 1.5 hectares (source: OpenStreetMap) (population weighted),pop_pct_access_500m_public_open_space_large_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with access within 500 m of a large public green space of at least 1 hectare (source: OpenStreetMap, Google Earth Engine) (population weighted)",pop_pct_access_500m_large_public_green_space_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public transport stop with average daytime weekday service frequency of 30 minutes or better (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_freq_30_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public transport stop with average daytime weekday service frequency of 20 minutes or better (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_freq_20_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (best result of GTFS and OpenStreetMap/custom sources) (population weighted),pop_pct_access_500m_pt_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_avg_walk_dist_fresh_food_market,metres,mean,city
Indicator estimates: access (walking),"Average distance (m) along the pedestrian network to the nearest fresh food market, supermarket or convenience store (pooled fresh food destinations) (population weighted)",pop_avg_walk_dist_fresh_food_pooled,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest public open space larger than 1.5 hectares (source: OpenStreetMap) (population weighted),pop_avg_walk_dist_public_open_space_large,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest public open space (source: OpenStreetMap) (population weighted),pop_avg_walk_dist_public_open_space_any,metres,mean,city
Indicator estimates: access (walking),"Average distance (m) along the pedestrian network to the nearest natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) (population weighted)",pop_avg_walk_dist_blue_space,metres,mean,city
Indicator estimates: access (walking),"Average distance (m) along the pedestrian network to the nearest public open space containing water, such as a park with a lake (source: OpenStreetMap) (population weighted)",pop_avg_walk_dist_public_open_space_with_water,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest public transport stop (best result of GTFS and OpenStreetMap/custom sources) (population weighted),pop_avg_walk_dist_pt_any,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue fresh food' (custom destination) (population weighted),pop_avg_walk_dist_denue_fresh_food,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue food retail' (custom destination) (population weighted),pop_avg_walk_dist_denue_food_retail,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue bakery tortilleria' (custom destination) (population weighted),pop_avg_walk_dist_denue_bakery_tortilleria,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue household goods' (custom destination) (population weighted),pop_avg_walk_dist_denue_household_goods,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue pharmacy' (custom destination) (population weighted),pop_avg_walk_dist_denue_pharmacy,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue finance comms' (custom destination) (population weighted),pop_avg_walk_dist_denue_finance_comms,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue preschool' (custom destination) (population weighted),pop_avg_walk_dist_denue_preschool,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue primary school' (custom destination) (population weighted),pop_avg_walk_dist_denue_primary_school,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue secondary school' (custom destination) (population weighted),pop_avg_walk_dist_denue_secondary_school,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue tertiary education' (custom destination) (population weighted),pop_avg_walk_dist_denue_tertiary_education,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue primary healthcare' (custom destination) (population weighted),pop_avg_walk_dist_denue_primary_healthcare,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue medical clinic' (custom destination) (population weighted),pop_avg_walk_dist_denue_medical_clinic,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue hospital' (custom destination) (population weighted),pop_avg_walk_dist_denue_hospital,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue care support' (custom destination) (population weighted),pop_avg_walk_dist_denue_care_support,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue childcare' (custom destination) (population weighted),pop_avg_walk_dist_denue_childcare,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue community' (custom destination) (population weighted),pop_avg_walk_dist_denue_community,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue culture' (custom destination) (population weighted),pop_avg_walk_dist_denue_culture,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue sport' (custom destination) (population weighted),pop_avg_walk_dist_denue_sport,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue recreation' (custom destination) (population weighted),pop_avg_walk_dist_denue_recreation,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue employment any' (custom destination) (population weighted),pop_avg_walk_dist_denue_employment_any,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue employer medium' (custom destination) (population weighted),pop_avg_walk_dist_denue_employer_medium,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue manufacturing' (custom destination) (population weighted),pop_avg_walk_dist_denue_manufacturing,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest 'denue petrol station' (custom destination) (population weighted),pop_avg_walk_dist_denue_petrol_station,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_essentials_local,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_essentials_complete,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_health_all,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_civic_all,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_jobs_local,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_jobs_complete,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_services_local,metres,mean,city
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_avg_walk_dist_activity_centre_services_complete,metres,mean,city
Indicator estimates: access (walking),"Average number of 'meat' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__meat_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'meat' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__meat_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'produce' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__produce_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'produce' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__produce_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'grains and spices' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__grains_and_spices_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'grains and spices' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__grains_and_spices_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'dairy' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__dairy_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'dairy' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__dairy_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'supermarket' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__supermarket_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'supermarket' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__supermarket_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'minisuper' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__minisuper_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'minisuper' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__minisuper_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'bakery tortilleria' destinations, a sub-type of 'fresh food', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__bakery_tortilleria_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'bakery tortilleria' destinations, a sub-type of 'fresh food', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_fresh_food__bakery_tortilleria_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'preschool' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__preschool_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'preschool' destinations, a sub-type of 'education', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__preschool_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'primary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__primary_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'primary' destinations, a sub-type of 'education', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__primary_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'secondary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__secondary_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'secondary' destinations, a sub-type of 'education', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__secondary_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'tertiary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__tertiary_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'tertiary' destinations, a sub-type of 'education', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_education__tertiary_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'primary healthcare' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__primary_healthcare_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'primary healthcare' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__primary_healthcare_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'specialist clinic' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__specialist_clinic_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'specialist clinic' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__specialist_clinic_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'hospital' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__hospital_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'hospital' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__hospital_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'pharmacy' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__pharmacy_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'pharmacy' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__pharmacy_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'care support' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__care_support_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'care support' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_health_care__care_support_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'community' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_community_culture_recreation__community_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'culture' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_community_culture_recreation__culture_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'culture' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_community_culture_recreation__culture_1000m,count,mean,city
Indicator estimates: access (walking),"Average number of 'sport' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network (population weighted)",pop_avg_count_walk_community_culture_recreation__sport_500m,count,mean,city
Indicator estimates: access (walking),"Average number of 'sport' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network (population weighted)",pop_avg_count_walk_community_culture_recreation__sport_1000m,count,mean,city
Indicator estimates: access (walking),"Percentage of population living further than 250 m along the pedestrian network from the nearest 'denue petrol station' (custom destination); proximity to this destination is a disamenity, so higher is better (population weighted)",pop_pct_beyond_walk_denue_petrol_station_250m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to a fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_walk_fresh_food_market_500m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 500 m to a fresh food market, supermarket or convenience store (pooled fresh food destinations) (population weighted)",pop_pct_access_walk_fresh_food_pooled_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to a public open space larger than 1.5 hectares (source: OpenStreetMap) (population weighted),pop_pct_access_walk_public_open_space_large_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to any public open space (source: OpenStreetMap) (population weighted),pop_pct_access_walk_public_open_space_any_500m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 500 m to a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) (population weighted)",pop_pct_access_walk_blue_space_500m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 500 m to a public open space containing water, such as a park with a lake (source: OpenStreetMap) (population weighted)",pop_pct_access_walk_public_open_space_with_water_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to any public transport stop (best result of GTFS and OpenStreetMap/custom sources) (population weighted),pop_pct_access_walk_pt_any_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue fresh food' (custom destination) (population weighted),pop_pct_access_walk_denue_fresh_food_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue food retail' (custom destination) (population weighted),pop_pct_access_walk_denue_food_retail_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue bakery tortilleria' (custom destination) (population weighted),pop_pct_access_walk_denue_bakery_tortilleria_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue household goods' (custom destination) (population weighted),pop_pct_access_walk_denue_household_goods_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue pharmacy' (custom destination) (population weighted),pop_pct_access_walk_denue_pharmacy_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue finance comms' (custom destination) (population weighted),pop_pct_access_walk_denue_finance_comms_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue preschool' (custom destination) (population weighted),pop_pct_access_walk_denue_preschool_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue primary school' (custom destination) (population weighted),pop_pct_access_walk_denue_primary_school_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue secondary school' (custom destination) (population weighted),pop_pct_access_walk_denue_secondary_school_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue tertiary education' (custom destination) (population weighted),pop_pct_access_walk_denue_tertiary_education_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue primary healthcare' (custom destination) (population weighted),pop_pct_access_walk_denue_primary_healthcare_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue medical clinic' (custom destination) (population weighted),pop_pct_access_walk_denue_medical_clinic_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue hospital' (custom destination) (population weighted),pop_pct_access_walk_denue_hospital_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue care support' (custom destination) (population weighted),pop_pct_access_walk_denue_care_support_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue childcare' (custom destination) (population weighted),pop_pct_access_walk_denue_childcare_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue community' (custom destination) (population weighted),pop_pct_access_walk_denue_community_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue culture' (custom destination) (population weighted),pop_pct_access_walk_denue_culture_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue sport' (custom destination) (population weighted),pop_pct_access_walk_denue_sport_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue recreation' (custom destination) (population weighted),pop_pct_access_walk_denue_recreation_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue employment any' (custom destination) (population weighted),pop_pct_access_walk_denue_employment_any_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue employer medium' (custom destination) (population weighted),pop_pct_access_walk_denue_employer_medium_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue manufacturing' (custom destination) (population weighted),pop_pct_access_walk_denue_manufacturing_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_essentials_local_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_essentials_complete_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_health_all_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_civic_all_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_jobs_local_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_jobs_complete_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_services_local_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_services_complete_500m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to a fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_walk_fresh_food_market_1000m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a fresh food market, supermarket or convenience store (pooled fresh food destinations) (population weighted)",pop_pct_access_walk_fresh_food_pooled_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to a public open space larger than 1.5 hectares (source: OpenStreetMap) (population weighted),pop_pct_access_walk_public_open_space_large_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to any public open space (source: OpenStreetMap) (population weighted),pop_pct_access_walk_public_open_space_any_1000m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) (population weighted)",pop_pct_access_walk_blue_space_1000m,percent,percentage,city
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a public open space containing water, such as a park with a lake (source: OpenStreetMap) (population weighted)",pop_pct_access_walk_public_open_space_with_water_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to any public transport stop (best result of GTFS and OpenStreetMap/custom sources) (population weighted),pop_pct_access_walk_pt_any_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue fresh food' (custom destination) (population weighted),pop_pct_access_walk_denue_fresh_food_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue food retail' (custom destination) (population weighted),pop_pct_access_walk_denue_food_retail_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue bakery tortilleria' (custom destination) (population weighted),pop_pct_access_walk_denue_bakery_tortilleria_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue household goods' (custom destination) (population weighted),pop_pct_access_walk_denue_household_goods_1000m,percent,percentage,city
