CVEGEO,pop_total,pop_65_plus,pct_65_plus
0200200017571,575.0,15.0,2.61
0200200014628,2289.0,294.0,12.84
0200200016287,46.0,8.0,17.39
0200200016906,3497.0,36.0,1.03
0200200016361,682.0,17.0,2.49
0200200014810,1851.0,135.0,7.29
020020001654A,2479.0,37.0,1.49
0200200010555,4055.0,694.0,17.11
0200200012532,5570.0,388.0,6.97
0200200013140,3476.0,306.0,8.8
0200200015698,4130.0,122.0,2.95
0200200016677,1398.0,26.0,1.86
0200200017251,2949.0,49.0,1.66
0200200014844,1775.0,279.0,15.72
0200200015787,3437.0,215.0,6.26
0200200014435,2224.0,430.0,19.33
0200200015522,1728.0,103.0,5.96
0200200016022,4637.0,100.0,2.16
0200200016624,2992.0,47.0,1.57
020020001597A,3660.0,48.0,1.31
020020001273A,4433.0,278.0,6.27
0200200017603,269.0,14.0,5.2
0200200010540,2913.0,552.0,18.95
020020001483A,1457.0,73.0,5.01
0200200015166,2353.0,122.0,5.18
0200200015611,213.0,0.0,0.0
0200200016681,2835.0,54.0,1.9
0200200015842,2515.0,60.0,2.39
020020001469A,1966.0,268.0,13.63
020020001686A,50.0,0.0,0.0
0200200010362,2546.0,484.0,19.01
0200200015838,2097.0,50.0,2.38
0200200016060,3908.0,75.0,1.92
0200200013969,3137.0,32.0,1.02
0200200014740,6175.0,375.0,6.07
0200200014558,3234.0,329.0,10.17
020020001316A,2708.0,171.0,6.31
0200200014280,2124.0,381.0,17.94
0200200015594,5091.0,192.0,3.77
020020001501A,1138.0,222.0,19.51
0200200016732,2744.0,27.0,0.98
0200200014666,1901.0,374.0,19.67
020020001558A,114.0,3.0,2.63
0200200018283,0.0,0.0,
0200200013189,1000.0,23.0,2.3
0200200014562,2513.0,200.0,7.96
0200200016770,3422.0,85.0,2.48
020020001565A,439.0,11.0,2.51
0200200014276,1811.0,320.0,17.67
0200200014929,2805.0,193.0,6.88
0200200014702,2735.0,405.0,14.81
0200200017073,5362.0,69.0,1.29
020020001661A,4635.0,89.0,1.92
0200200016751,1821.0,47.0,2.58
0200200010292,1643.0,146.0,8.89
0200200015537,1673.0,82.0,4.9
0200200018264,0.0,0.0,
0200200015768,830.0,114.0,13.73
0200200017425,1536.0,14.0,0.91
0200200015486,348.0,8.0,2.3
0200200017105,2109.0,57.0,2.7
0200200014473,1362.0,142.0,10.43
0200200017374,5457.0,53.0,0.97
020020001437A,826.0,80.0,9.69
0200200014454,824.0,139.0,16.87
0200200013846,1547.0,83.0,5.37
0200200016094,1593.0,43.0,2.7
0200200015931,4163.0,58.0,1.39
0200200016785,910.0,13.0,1.43
0200200018387,8.0,0.0,0.0
0200200015749,1047.0,173.0,16.52
0200200016643,2177.0,66.0,3.03
020020001063A,2121.0,351.0,16.55
0200200015556,3651.0,108.0,2.96
0200200014952,1432.0,239.0,16.69
0200200014990,3108.0,227.0,7.3
0200200014736,4250.0,307.0,7.22
0200200016959,1807.0,46.0,2.55
0200200013916,2.0,0.0,0.0
0200200016499,2531.0,20.0,0.79
0200200015753,1228.0,177.0,14.41
0200200010108,3241.0,605.0,18.67
0200200016696,1089.0,37.0,3.4
0200200012814,1690.0,239.0,14.14
0200200015965,339.0,7.0,2.06
020020001451A,1497.0,280.0,18.7
0200200014312,1941.0,241.0,12.42
0200200010409,2112.0,251.0,11.88
0200200014401,638.0,90.0,14.11
0200200014149,1352.0,64.0,4.73
0200200017764,909.0,8.0,0.88
0200200017853,560.0,6.0,1.07
0200200017143,4314.0,31.0,0.72
0200200014539,1204.0,216.0,17.94
0200200016573,257.0,4.0,1.56
0200200012829,3162.0,457.0,14.45
0200200010324,2625.0,453.0,17.26
0200200010269,3454.0,587.0,16.99
0200200010610,2611.0,391.0,14.98
0200200010057,1465.0,168.0,11.47
0200200014261,1861.0,349.0,18.75
0200200014670,4823.0,134.0,2.78
0200200015005,6054.0,267.0,4.41
0200200013070,357.0,38.0,10.64
020020001280A,2161.0,400.0,18.51
0200200017139,3033.0,21.0,0.69
0200200016963,888.0,11.0,1.24
0200200012797,2277.0,393.0,17.26
0200200014577,2360.0,394.0,16.69
0200200014295,2111.0,352.0,16.67
0200200017196,1138.0,6.0,0.53
0200200014204,997.0,114.0,11.43
0200200017158,531.0,3.0,0.56
0200200012867,2497.0,342.0,13.7
0200200014647,1970.0,544.0,27.61
020020001533A,4290.0,213.0,4.97
0200200015679,2984.0,102.0,3.42
0200200016662,1453.0,39.0,2.68
0200200016357,679.0,12.0,1.77
0200200010288,2826.0,369.0,13.06
0200200014524,1704.0,250.0,14.67
0200200013935,194.0,11.0,5.67
0200200018071,568.0,13.0,2.29
0200200018086,1322.0,4.0,0.3
020020001825A,1402.0,11.0,0.78
0200200015344,781.0,39.0,4.99
0200200017726,303.0,0.0,0.0
0200200018194,1146.0,10.0,0.87
0200200017730,365.0,8.0,2.19
0200200017675,443.0,5.0,1.13
0200200018141,238.0,0.0,0.0
0200200015490,2232.0,63.0,2.82
0200200013225,543.0,73.0,13.44
0200200017745,441.0,0.0,0.0
0200200013210,58.0,0.0,0.0
0200200010019,2943.0,37.0,1.26
0200200010659,3719.0,475.0,12.77
0200200018315,1322.0,12.0,0.91
0200200017389,1921.0,21.0,1.09
0200200010485,428.0,14.0,3.27
020020001818A,484.0,0.0,0.0
0200200016056,5068.0,118.0,2.33
0200200015861,2896.0,76.0,2.62
020020001309A,820.0,81.0,9.88
0200200011708,538.0,59.0,10.97
0200200015113,719.0,45.0,6.26
0200200017923,2864.0,22.0,0.77
0200200018476,1199.0,3.0,0.25
0200200015700,2241.0,183.0,8.17
0200200017641,938.0,10.0,1.07
0200200014350,2463.0,233.0,9.46
0200200015664,519.0,9.0,1.73
0200200017406,474.0,5.0,1.05
0200200017177,829.0,16.0,1.93
0200200012744,976.0,107.0,10.96
0200200013850,2247.0,99.0,4.41
0200200017181,2455.0,13.0,0.53
0200200015467,1506.0,57.0,3.78
0200200016126,4828.0,87.0,1.8
0200200016535,2663.0,99.0,3.72
0200200016569,3004.0,42.0,1.4
020020001679A,1449.0,22.0,1.52
0200200017232,1953.0,78.0,3.99
0200200017410,788.0,20.0,2.54
0200200017656,651.0,0.0,0.0
0200200017694,535.0,19.0,3.55
0200200017707,1237.0,9.0,0.73
0200200018118,548.0,4.0,0.73
0200200018090,1377.0,18.0,1.31
0200200018156,58.0,0.0,0.0
0200200016198,3754.0,66.0,1.76
020020001394A,0.0,0.0,
020020001711A,3742.0,55.0,1.47
0200200018457,406.0,0.0,0.0
020020001615A,2621.0,78.0,2.98
0200200018404,776.0,12.0,1.55
0200200016145,2752.0,55.0,2.0
0200200015607,4170.0,120.0,2.88
0200200016164,4803.0,192.0,4.0
0200200018372,353.0,3.0,0.85
0200200017586,657.0,33.0,5.02
0200200016840,1794.0,65.0,3.62
0200200017247,1845.0,72.0,3.9
0200200017590,711.0,13.0,1.83
0200200016111,2299.0,111.0,4.83
0200200014685,3679.0,136.0,3.7
0200200016978,2776.0,37.0,1.33
0200200010697,644.0,40.0,6.21
020020001070A,521.0,59.0,11.32
0200200010714,610.0,53.0,8.69
0200200010729,618.0,10.0,1.62
0200200015715,1935.0,190.0,9.82
0200200017567,1233.0,17.0,1.38
0200200010748,1515.0,127.0,8.38
0200200010752,306.0,3.0,0.98
0200200015170,2356.0,124.0,5.26
0200200010220,1792.0,33.0,1.84
0200200014505,1604.0,273.0,17.02
0200200010451,416.0,106.0,25.48
0200200012725,1124.0,137.0,12.19
0200200012833,1939.0,328.0,16.92
0200200012886,1594.0,203.0,12.74
0200200014863,2188.0,182.0,8.32
020020001298A,7035.0,409.0,5.81
0200200017035,6292.0,80.0,1.27
0200200017340,2667.0,72.0,2.7
0200200017270,633.0,6.0,0.95
0200200012388,3876.0,247.0,6.37
020020001031A,1258.0,181.0,14.39
0200200017124,2497.0,63.0,2.52
0200200016395,73.0,0.0,0.0
0200200016319,128.0,10.0,7.81
0200200016855,3058.0,112.0,3.66
0200200016107,1332.0,52.0,3.9
0200200017302,1804.0,14.0,0.78
0200200017088,3851.0,74.0,1.92
0200200013329,2031.0,183.0,9.01
0200200015683,1482.0,49.0,3.31
0200200018279,174.0,4.0,2.3
0200200010678,1929.0,117.0,6.07
0200200010767,504.0,13.0,2.58
0200200013085,1249.0,101.0,8.09
0200200014191,784.0,99.0,12.63
0200200018495,3524.0,13.0,0.37
0200200017016,2029.0,7.0,0.34
0200200010038,6104.0,22.0,0.36
0200200016925,399.0,0.0,0.0
0200200015950,763.0,41.0,5.37
020020001768A,246.0,0.0,0.0
0200200016836,3319.0,31.0,0.93
0200200014219,435.0,63.0,14.48
0200200016766,2072.0,42.0,2.03
0200200016037,2228.0,69.0,3.1
020020001608A,3898.0,62.0,1.59
0200200016041,3685.0,125.0,3.39
0200200017020,1939.0,9.0,0.46
0200200010023,2377.0,18.0,0.76
0200200018137,596.0,36.0,6.04
0200200015575,1263.0,61.0,4.83
0200200015293,1500.0,52.0,3.47
0200200018230,1823.0,49.0,2.69
0200200013884,4472.0,232.0,5.19
0200200014365,2449.0,238.0,9.72
0200200017266,2836.0,11.0,0.39
020020001704A,6316.0,92.0,1.46
0200200010837,,,
0200200010856,,,
0200200013812,908.0,55.0,6.06
0200200015946,537.0,19.0,3.54
0200200017637,76.0,0.0,0.0
0200200014223,340.0,47.0,13.82
0200200010841,,,
020020001647A,3891.0,46.0,1.18
0200200016484,2566.0,53.0,2.07
0200200016520,8444.0,87.0,1.03
0200200015310,3210.0,168.0,5.23
0200200010589,1112.0,9.0,0.81
0200200014238,1169.0,225.0,19.25
